source_mat_id,sea_surf_temp_method,sea_surf_temp,ph,ph_method,sediment_temp,sediment_temp_method,redox_potential,redox_potential_method,alkalinity,alkalinity_method,ammonium,ammonium_method,atmospheric_data,bacteria_carb_prod,bacteria_carb_prod_method,biomass,biomass_method,chem_administration,chlorophyll,chlorophyll_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_hydrogen,diss_hydrogen_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,diss_oxygen,diss_oxygen_method,magnesium,magnesium_method,methane,methane_method,misc_param,misc_param_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,org_carb,org_carb_method,org_matter,org_matter_method,org_nitro,org_nitro_method,organism_count,organism_count_method,oxy_stat_samp,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,particle_class,perturbation,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,porosity,pressure,pressure_method,sea_surf_salinity,sea_surf_salinity_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,tot_carb,tot_carb_method,tot_diss_nitro,tot_inorg_nitro,tot_nitro,tot_nitro_method,tot_part_carb,tot_part_carb_method,tot_phosp,tot_phosp_method,water_content,water_current,water_current_method
EMOBON-220420-BPNS-SoSOP3-Meio-R2,CTD,9.931,6.83,Hanna Instruments 991001 ph meter,9.883,CTD,,,,,,,,,,,,,,,,,,,,,,,,,"9,3230265",CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00172711572,CTD,32.282,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-220420-BPNS-SoSOP3-Meio-R3,CTD,9.931,6.83,Hanna Instruments 991001 ph meter,9.883,CTD,,,,,,,,,,,,,,,,,,,,,,,,,"9,3230265",CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00172711572,CTD,32.282,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-220420-BPNS-SoSOP3-Meio-R4,CTD,9.931,6.83,Hanna Instruments 991001 ph meter,9.883,CTD,,,,,,,,,,,,,,,,,,,,,,,,,"9,3230265",CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00172711572,CTD,32.282,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-220420-BPNS-SoSOP3-Meio-B,CTD,9.931,6.83,Hanna Instruments 991001 ph meter,9.883,CTD,,,,,,,,,,,,,,,,,,,,,,,,,"9,3230265",CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00172711572,CTD,32.282,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-220601-BPNS-So3-Micro-R1,CTD,15.655,5.63,Hanna Instruments 991001 ph meter,15.619,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00626696,CTD,33.264,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-220601-BPNS-So3-Micro-R2,CTD,15.655,5.63,Hanna Instruments 991001 ph meter,15.619,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00626696,CTD,33.264,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-220601-BPNS-So3-Micro-R3,CTD,15.655,5.63,Hanna Instruments 991001 ph meter,15.619,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00626696,CTD,33.264,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-220601-BPNS-So3-Micro-R4,CTD,15.655,5.63,Hanna Instruments 991001 ph meter,15.619,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00626696,CTD,33.264,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-220601-BPNS-So3-Micro-B1,CTD,15.655,5.63,Hanna Instruments 991001 ph meter,15.619,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00626696,CTD,33.264,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-220601-BPNS-So3-Micro-B2,CTD,15.655,5.63,Hanna Instruments 991001 ph meter,15.619,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00626696,CTD,33.264,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-220601-BPNS-SoSOP3-Meio-R1,CTD,15.655,5.63,Hanna Instruments 991001 ph meter,15.619,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00626696,CTD,33.264,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-220601-BPNS-SoSOP3-Meio-R2,CTD,15.655,5.63,Hanna Instruments 991001 ph meter,15.619,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00626696,CTD,33.264,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-220601-BPNS-SoSOP3-Meio-R3,CTD,15.655,5.63,Hanna Instruments 991001 ph meter,15.619,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00626696,CTD,33.264,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-220601-BPNS-SoSOP3-Meio-R4,CTD,15.655,5.63,Hanna Instruments 991001 ph meter,15.619,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00626696,CTD,33.264,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-220601-BPNS-SoSOP3-Meio-B,CTD,15.655,5.63,Hanna Instruments 991001 ph meter,15.619,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00626696,CTD,33.264,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-220819-BPNS-So3-Micro-R1,CTD,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00626696,CTD,33.264,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-220819-BPNS-So3-Micro-R2,CTD,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-220819-BPNS-So3-Micro-R3,CTD,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-220819-BPNS-So3-Micro-R4,CTD,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-220819-BPNS-So3-Micro-B1,CTD,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-220819-BPNS-So3-Micro-B2,CTD,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-221027-BPNS-So3-Micro-R1,CTD,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-221027-BPNS-So3-Micro-R2,CTD,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-221027-BPNS-So3-Micro-R3,CTD,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-221027-BPNS-So3-Micro-R4,CTD,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-221027-BPNS-So3-Micro-B1,CTD,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-221027-BPNS-So3-Micro-B2,CTD,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-221027-BPNS-So3-Macro-R1,CTD,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-221027-BPNS-So3-Macro-R2,CTD,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-221027-BPNS-So3-Macro-R3,CTD,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-221027-BPNS-So3-Macro-R4,CTD,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-221027-BPNS-So3-Macro-B,CTD,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-221027-BPNS-SoSOP3-Meio-R1,CTD,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-221027-BPNS-SoSOP3-Meio-R2,CTD,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-221027-BPNS-SoSOP3-Meio-R3,CTD,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-221027-BPNS-SoSOP3-Meio-R4,CTD,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-221027-BPNS-SoSOP3-Meio-B,CTD,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-221212-BPNS-So3-Micro-R1,CTD,,"6,6",,"7,8",CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-221212-BPNS-So3-Micro-R2,CTD,,"6,6",,"7,8",CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-221212-BPNS-So3-Micro-R3,CTD,,"6,6",,"7,8",CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-221212-BPNS-So3-Micro-R4,CTD,,"6,6",,"7,8",CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-221212-BPNS-So3-Micro-B1,CTD,,"6,6",,"7,8",CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,CTD,,,,,,,,,,,,,,,,,,,
EMOBON-221212-BPNS-So3-Micro-B2,CTD,,"6,6",,"7,8",CTD,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,,CTD,,,,,,,,,,,,,,,,,,,
